iter	Logloss
326	0.1514994613
327	0.151312097
328	0.1511648434
329	0.1509924236
330	0.1508252033
331	0.1507199136
332	0.1505116486
333	0.1503431674
334	0.1501228153
335	0.1499044853
336	0.1497729211
337	0.1497603865
338	0.1496783704
339	0.1495645103
340	0.149538286
341	0.1493570314
342	0.1492107418
343	0.1490081814
344	0.1488098232
345	0.1486256973
346	0.1484929514
347	0.1483252404
348	0.1481227394
349	0.147943729
350	0.1478122232
351	0.147620768
352	0.1475006912
353	0.147414939
354	0.1472315698
355	0.1471345253
356	0.1470034512
357	0.1468603958
358	0.1467258928
359	0.1465718244
360	0.1464356475
361	0.1462440852
362	0.1460820832
363	0.145916501
364	0.1457972946
365	0.1456818082
366	0.1455791938
367	0.1453750309
368	0.1452282311
369	0.1451648444
370	0.1449722131
371	0.1448542099
372	0.1446949391
373	0.1445285894
374	0.1444254271
375	0.144282676
376	0.1440876202
377	0.1439197455
378	0.1437941905
379	0.1436943655
380	0.1435610949
381	0.1434380706
382	0.1434013101
383	0.1432821395
384	0.1432026446
385	0.1431286524
386	0.1429646069
387	0.1428328381
388	0.1427314775
389	0.1425973396
390	0.1425110048
391	0.1424669569
392	0.1423271413
393	0.1421935703
394	0.142008495
395	0.1419140727
396	0.1417726917
397	0.141768944
398	0.1416241338
399	0.1415434856
400	0.1414357239
401	0.1413227116
402	0.1411994039
403	0.1411589392
404	0.1410969183
405	0.1409407263
406	0.1407902853
407	0.1406293518
408	0.1405575486
409	0.1403642372
410	0.1402033387
411	0.1401211978
412	0.1399260726
413	0.1397830288
414	0.1396644094
415	0.1394724244
416	0.1393426914
417	0.1391916412
418	0.1390996669
419	0.1389845097
420	0.13887911
421	0.1387158412
422	0.1386181999
423	0.1384477867
424	0.1383169095
425	0.1382304756
426	0.1380962177
427	0.1380202431
428	0.1378626118
429	0.137751252
430	0.1376948247
431	0.1375315725
432	0.1374465474
433	0.1372830705
434	0.1371377881
435	0.1370117219
436	0.1369454825
437	0.1369049031
438	0.1368462507
439	0.1366962586
440	0.1366579101
441	0.1365837598
442	0.1364288164
443	0.1363915088
444	0.1362486577
445	0.1360863725
446	0.1359357294
447	0.1358566802
448	0.1358012715
449	0.1356707502
450	0.1354856391
451	0.1354413211
452	0.1354412298
453	0.1353750364
454	0.1352721964
455	0.1351017001
456	0.1349873202
457	0.1348533715
458	0.134732081
459	0.1346199522
460	0.134495503
461	0.1344879873
462	0.1343719956
463	0.1341876227
464	0.1340425263
465	0.1338848473
466	0.1337243998
467	0.1336335085
468	0.1335578412
469	0.1334863237
470	0.1333733308
471	0.1332188135
472	0.1330507475
473	0.1329144548
474	0.1328140429
475	0.1327566687
476	0.1326522885
477	0.1325371459
478	0.1324447161
479	0.1323112822
480	0.1322002761
481	0.1321540909
482	0.1320181853
483	0.1319193338
484	0.1317963363
485	0.1316525527
486	0.1315135773
487	0.1314246621
488	0.1313192085
489	0.131221524
490	0.1311349724
491	0.1310830859
492	0.1309371058
493	0.1307951859
494	0.1306897951
495	0.1304934408
496	0.1303909265
497	0.1303390878
498	0.1302533206
499	0.1301399975
500	0.1300766383
501	0.1299756352
502	0.1299030275
503	0.1297446866
504	0.1296288441
505	0.1295231875
506	0.1294464332
507	0.1293495604
508	0.1292160302
509	0.1291398799
510	0.1290647212
511	0.1289918772
512	0.1288774516
513	0.128690459
514	0.128611155
515	0.1285396819
516	0.1284511198
