iter	Logloss
0	0.6326007463
1	0.5847120848
2	0.5529041948
3	0.5241137943
4	0.500088473
5	0.4821236996
6	0.4677498434
7	0.4550351931
8	0.4431964315
9	0.4337567044
10	0.4225207129
11	0.4137396959
12	0.4061996229
13	0.4005785448
14	0.3928882783
15	0.3869418536
16	0.3812608808
17	0.3763158025
18	0.3707287042
19	0.3642244256
20	0.3580525114
21	0.3527211264
22	0.3483816448
23	0.3431228366
24	0.3373739622
25	0.3335020544
26	0.3289314746
27	0.3257832711
28	0.3233729554
29	0.3191893293
30	0.3161720898
31	0.3127341538
32	0.3108551081
33	0.3080684047
34	0.3046988561
35	0.3016831813
36	0.2983999095
37	0.2957545943
38	0.2942411565
39	0.2920345934
40	0.2906032332
41	0.2882044163
42	0.2859688452
43	0.2829454438
44	0.2812718788
45	0.2793425585
46	0.2779525147
47	0.2755170324
48	0.27386332
49	0.2722845302
50	0.2703353663
51	0.2684782125
52	0.2665486822
53	0.2649238087
54	0.2632059306
55	0.2622664411
56	0.2605969897
57	0.2598037595
58	0.25890235
59	0.2575006049
60	0.2567982508
61	0.2554172518
62	0.2542069994
63	0.2530656511
64	0.2523350668
65	0.2507829318
66	0.2500516804
67	0.248842256
68	0.2477303258
69	0.2462523165
70	0.2449618557
71	0.2436036403
72	0.2424737355
73	0.2418856271
74	0.2412956161
75	0.24026647
76	0.2393906275
77	0.2386351237
78	0.237558461
79	0.2364054131
80	0.2357156227
81	0.234596913
82	0.2340192708
83	0.2330808256
84	0.2324338307
85	0.2313783184
86	0.2301674298
87	0.229063901
88	0.2282212227
89	0.2274306928
90	0.2264005767
91	0.2258246921
92	0.2251190375
93	0.2244456162
94	0.2236047254
95	0.2228592143
96	0.2222725683
97	0.2214515313
98	0.2205939475
99	0.2200517562
100	0.219552611
101	0.2189280284
102	0.2183219107
103	0.2179395942
104	0.2172465128
105	0.2165256378
106	0.2158872947
107	0.2148474769
108	0.2140661299
109	0.2134455961
110	0.2128919487
111	0.2123262723
112	0.2117858793
113	0.2112148737
114	0.2106625014
115	0.2101205641
116	0.209511807
117	0.2088004524
118	0.2084467515
119	0.2077970707
120	0.2072588725
121	0.2066255713
122	0.2060612044
123	0.2056375853
124	0.2052112365
125	0.2044299273
126	0.2038821945
127	0.2032906776
128	0.2025503656
129	0.2021687515
130	0.2014251048
131	0.2010068682
132	0.2004112924
133	0.1999963298
134	0.199593567
135	0.1991829893
136	0.1984548842
137	0.197969565
138	0.1976689375
139	0.1970937262
140	0.1964979841
141	0.1959390792
142	0.195630331
143	0.1950961435
144	0.1946675621
145	0.1942614157
146	0.1939085439
147	0.1934069675
148	0.1930758117
149	0.1927593112
150	0.1924503091
151	0.1918262889
152	0.1914950445
153	0.1910722458
154	0.1908704347
155	0.1903895895
156	0.1898537688
157	0.1896525362
158	0.1892611844
159	0.1889082034
160	0.188584965
161	0.1882794943
162	0.1879190112
163	0.1875675806
164	0.1872911984
165	0.1869090217
166	0.1865864751
167	0.1861387775
168	0.1857246439
169	0.1854588491
170	0.1850987586
171	0.1849258199
172	0.1845835888
173	0.1843316371
174	0.1839785251
175	0.1835637768
176	0.1832467657
177	0.1829572229
178	0.1824995387
179	0.1821680412
180	0.181969877
181	0.1817252451
182	0.1814095067
183	0.1811079712
184	0.1810106145
185	0.1807457764
186	0.1805281244
187	0.1803327528
188	0.1799676176
189	0.1796638172
190	0.1794750511
191	0.1791995961
192	0.1787229545
193	0.1782751773
194	0.1779675898
195	0.177651933
196	0.1773035584
197	0.1769863952
198	0.1767989459
199	0.1766555617
200	0.176453013
201	0.176147776
202	0.1759674638
203	0.1756144641
204	0.1752831873
205	0.1751606165
206	0.1749014519
207	0.1747138593
208	0.1745623599
209	0.1743685827
210	0.1740489581
211	0.1735323814
212	0.1733651278
213	0.1732054136
214	0.1728712583
215	0.1725984271
216	0.1723214961
217	0.1720720189
218	0.1718936014
219	0.1716007056
220	0.1713183828
221	0.1710243613
222	0.170833224
223	0.1706087352
224	0.1703940082
225	0.1701135309
226	0.1698800444
227	0.1697578717
228	0.1695803199
229	0.1693894172
230	0.1692130879
231	0.1689837965
232	0.168801632
233	0.1686316806
234	0.1684572582
235	0.1682896972
236	0.1680525367
237	0.1678198648
238	0.1675640349
239	0.1673186901
240	0.1671012639
241	0.1668288609
242	0.166646451
243	0.1664703671
244	0.1663198899
245	0.1661859056
246	0.1660548833
247	0.1657386232
248	0.1655014147
249	0.1651833053
250	0.16488002
251	0.1647614663
252	0.1644723524
253	0.1642600889
254	0.1640829929
255	0.1638933875
256	0.1635993631
257	0.163442164
258	0.1632017461
259	0.1629182066
260	0.1627605902
261	0.1626327033
262	0.1623311638
263	0.1620988905
264	0.1619249176
265	0.161682017
266	0.1614471026
267	0.1613082909
268	0.1610811517
269	0.1609431325
270	0.1607358301
271	0.1604757977
272	0.1603024676
273	0.1601682061
274	0.1600056995
275	0.1598001269
276	0.1595385973
277	0.1593330611
278	0.1592178788
279	0.1590152499
280	0.1588364819
281	0.158739964
282	0.1586164765
283	0.1583821326
284	0.1582264404
285	0.1581164798
286	0.1579461776
287	0.1578192765
288	0.1577017709
289	0.1576514347
290	0.1574158949
291	0.1573150536
292	0.1572059967
293	0.1569525824
294	0.1567926571
295	0.1566317795
296	0.1563730115
297	0.1562021615
298	0.1560704024
299	0.1559817272
300	0.1557377737
301	0.1555246681
302	0.1553723237
303	0.1552569885
304	0.1550925498
305	0.1548441305
306	0.1546845803
307	0.1544782965
308	0.154268221
309	0.1540764738
310	0.1539345467
311	0.1538257128
312	0.1536489751
313	0.1535872557
314	0.1534089862
315	0.1531325828
316	0.1530750578
317	0.1528833023
318	0.152648513
319	0.1524219227
320	0.1522934267
321	0.1521585209
322	0.1520125442
323	0.1518921238
324	0.1517952884
325	0.1516712221
